County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 46,245 3,085 2,904 0 1,258 148
BEDFORD 22,092 1,234 1,931 20 498 99
BENTON 11,505 248 490 2 376 18
BLEDSOE 8,398 1,059 368 88 169 53
BLOUNT 67,502 7,375 5,242 222 1,428 450
BRADLEY 55,774 4,076 3,815 0 1,270 285
CAMPBELL 22,912 3,111 904 6 477 27
CANNON 7,992 711 534 18 249 45
CARROLL 18,890 956 1,000 0 571 20
CARTER 32,355 2,277 1,844 6 705 155
CHEATHAM 22,496 1,366 1,923 8 599 133
CHESTER 8,487 3,463 802 0 23 6
CLAIBORNE 17,453 2,167 893 1,141 515 0
CLAY 5,817 584 178 0 142 28
COCKE 20,694 1,049 1,100 3 481 182
COFFEE 29,797 1,120 2,106 6 744 62
CROCKETT 9,438 437 565 28 237 33
CUMBERLAN 35,650 2,223 1,732 0 673 75
DAVIDSON 331,840 50,555 42,015 497 5,831 678
DECATUR 7,283 564 407 1 213 24
DEKALB 11,937 1,290 621 14 341 57
DICKSON 28,209 2,745 2,000 77 715 180
DYER 20,836 977 1,516 2 519 60
FAYETTE 24,583 839 2,788 14 543 52
FENTRESS 11,489 650 612 1 201 28
FRANKLIN 25,151 1,159 1,742 14 704 66
GIBSON 28,785 1,374 2,206 22 770 139
GILES 18,339 708 1,165 7 467 43
GRAINGER 12,393 1,583 803 0 327 63
GREENE 37,288 1,916 1,994 22 607 80
GRUNDY 7,128 1,363 349 3 166 77
HAMBLEN 31,633 2,422 2,067 15 751 156
HAMILTON 205,603 16,408 15,499 0 3,487 534
HANCOCK 4,843 319 145 0 109 20
HARDEMAN 15,790 1,311 1,363 1 488 62
HARDIN 14,937 1,118 898 0 336 38
HAWKINS 34,435 72 1,941 9 939 16
HAYWOOD 12,365 311 888 0 107 3
HENDERSON 17,031 432 1,109 3 463 22
HENRY 23,123 454 1,239 0 628 16
HICKMAN 13,619 712 838 0 375 41
HOUSTON 5,004 42 253 0 107 2
HUMPHREYS 11,596 676 677 0 258 40
JACKSON 8,057 416 314 0 216 275
JEFFERSON 27,953 1,221 2,105 1 840 43
JOHNSON 10,592 630 416 0 178 6
KNOX 263,537 17,829 21,971 45 2,944 903
LAKE 4,021 189 154 0 144 150
LAUDERDALE 14,508 187 1,032 45 443 22
LAWRENCE 24,936 1,432 1,028 0 487 56
LEWIS 7,827 372 387 0 182 16
LINCOLN 18,287 1,006 1,226 0 295 70
LOUDON 29,570 1,696 2,280 4 674 129
MACON 13,086 561 631 0 278 16
MADISON 60,453 4,536 5,917 134 1,864 255
MARION 18,851 877 1,075 10 540 25
MARSHALL 17,119 782 1,186 0 432 34
MAURY 46,045 3,169 3,917 16 1,006 292
MCMINN 27,984 1,888 2,063 5 523 138
MCNAIRY 13,896 922 1,073 287 262 710
MEIGS 6,825 868 466 0 182 56
MONROE 27,888 1,989 1,592 10 582 125
MONTGOMER 83,296 6,555 9,132 0 1,109 128
MOORE 4,328 114 240 114 95 3
MORGAN 11,038 206 621 0 273 6
OBION 20,207 1,231 1,034 0 527 47
OVERTON 13,454 329 704 0 335 11
PERRY 5,024 536 235 0 105 21
PICKETT 3,936 318 121 0 70 3
POLK 10,904 1,291 502 1 212 60
PUTNAM 40,107 2,151 3,127 6 1,107 127
RHEA 18,156 1,588 1,063 0 531 6
ROANE 33,029 3,015 1,746 1 893 199
ROBERTSON 35,948 2,923 3,090 5 909 167
RUTHERFOR 132,221 12,637 17,112 2 3,168 912
SCOTT 13,822 604 323 0 208 23
SEQUATCHIE 8,585 604 424 0 198 24
SEVIER 45,480 7,306 3,412 95 1,283 1,159
SHELBY 573,830 78,506 42,872 1,558 9,671 1,799
SMITH 12,089 416 614 48 320 25
STEWART 8,008 584 532 13 194 59
SULLIVAN 81,890 7,910 5,837 32 1,478 284
SUMNER 88,791 8,646 7,701 1 1,872 570
TIPTON 35,488 2,598 3,446 216 802 162
TROUSDALE 5,051 347 293 2 161 22
UNICOI 10,569 800 609 5 220 46
UNION 11,647 64 696 296 340 145
VAN BUREN 4,135 268 158 0 81 14
WARREN 21,154 586 1,103 6 405 55
WASHINGTON 65,880 7,000 5,104 11 1,505 339
WAYNE 10,023 684 407 0 191 25
WEAKLEY 19,766 1,972 1,661 3 581 221
WHITE 15,555 629 724 0 303 32
WILLIAMSON 114,738 6,723 11,096 251 3,551 477
WILSON 66,530 3,451 6,024 871 1,725 199
