County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 45,745 1,685 904 2 866 1,183
BEDFORD 20,658 2,676 385 1,697 296 638
BENTON 10,409 1,558 161 2 112 91
BLEDSOE 7,245 1,245 92 1,143 157 347
BLOUNT 63,470 7,821 1,122 1,146 878 5,858
BRADLEY 56,102 6,631 1,312 35 1,333 243
CAMPBELL 23,153 863 365 9 307 689
CANNON 8,060 46 126 4 119 3
CARROLL 16,091 3,095 347 1,798 410 546
CARTER 29,656 5,025 476 196 488 91
CHEATHAM 19,652 3,971 432 3,319 274 856
CHESTER 8,030 1,389 240 1,319 94 3,103
CLAIBORNE 15,542 2,167 280 125 1,571 0
CLAY 5,436 859 85 0 109 23
COCKE 20,320 1,702 362 997 380 544
COFFEE 27,894 2,839 543 1,982 460 810
CROCKETT 7,755 973 145 720 139 94
CUMBERLAND 32,057 6,191 760 3,898 387 1,173
DAVIDSON 283,008 61,927 7,501 70,796 4,413 11,807
DECATUR 7,174 710 100 0 111 21
DEKALB 12,391 146 208 0 233 422
DICKSON 27,111 2,854 480 15 387 346
DYER 19,494 2,348 326 1,706 291 808
FAYETTE 24,270 1,554 434 318 304 41
FENTRESS 11,361 769 281 1 161 338
FRANKLIN 22,847 1,837 469 1,645 804 994
GIBSON 26,744 3,261 554 2,316 517 837
GILES 16,137 2,089 365 1,934 240 1,016
GRAINGER 12,992 421 199 0 148 492
GREENE 37,066 2,542 604 1,025 479 956
GRUNDY 5,971 1,190 105 1,166 99 1,490
HAMBLEN 30,924 2,376 553 2,007 425 1,105
HAMILTON 212,157 9,800 3,505 0 2,161 144
HANCOCK 4,878 242 63 170 88 169
HARDEMAN 16,162 116 210 2 286 4
HARDIN 13,979 1,855 269 784 183 844
HAWKINS 34,342 225 483 32 448 436
HAYWOOD 11,550 513 159 0 179 168
HENDERSON 15,337 2,516 394 2,130 242 225
HENRY 18,116 5,531 332 9 332 132
HICKMAN 13,176 924 220 542 225 444
HOUSTON 4,482 666 144 641 106 180
HUMPHREYS 11,656 700 323 64 183 39
JACKSON 8,235 168 194 15 145 352
JEFFERSON 25,531 3,973 580 2,997 485 620
JOHNSON 10,354 675 106 380 131 360
KNOX 257,389 14,656 5,308 2,660 3,108 13,900
LAKE 3,729 466 70 233 89 11
LAUDERDALE 13,735 510 171 440 275 73
LAWRENCE 21,652 4,464 468 1,854 293 858
LEWIS 8,056 179 177 0 130 189
LINCOLN 18,151 1,332 359 790 274 490
LOUDON 27,377 4,032 596 3,422 423 715
MACON 11,622 1,463 291 290 188 446
MADISON 59,857 2,514 1,080 111 765 1,418
MARION 18,705 1,001 282 2 412 312
MARSHALL 17,648 73 351 0 231 321
MAURY 47,293 1,975 995 20 611 1,678
MCMINN 28,226 1,954 479 9 483 76
MCNAIRY 14,338 507 245 0 165 16
MEIGS 6,049 1,466 111 1,042 99 271
MONROE 28,084 2,302 479 1,263 456 28
MONTGOMER 77,813 14,032 3,127 5,381 831 3,761
MOORE 4,334 111 55 62 91 22
MORGAN 11,649 164 128 0 36 2
OBION 17,482 3,038 1,456 1,880 224 54
OVERTON 13,056 850 225 325 190 275
PERRY 5,137 422 53 0 84 9
PICKETT 3,712 648 68 166 46 19
POLK 10,707 115 368 34 342 508
PUTNAM 39,106 2,909 812 1,872 640 710
RHEA 18,184 935 292 418 248 694
ROANE 30,711 3,701 611 0 494 1,209
ROBERTSON 32,967 5,542 762 2,847 492 1,317
RUTHERFORD 132,250 10,275 3,325 0 1,650 6,367
SCOTT 13,848 540 144 539 184 436
SEQUATCHIE 8,980 290 187 53 158 493
SEVIER 45,932 4,798 1,594 2 1,011 3,018
SHELBY 537,938 65,946 5,079 2,044 4,296 747
SMITH 12,382 252 236 15 257 294
STEWART 7,367 1,125 156 979 89 39
SULLIVAN 84,847 237 1,354 130 1,443 5,358
SUMNER 92,677 9,830 2,029 36 996 177
TIPTON 36,038 2,348 602 618 431 728
TROUSDALE 5,000 325 83 0 73 1
UNICOI 10,706 363 227 10 201 358
UNION 11,899 204 209 109 237 12
VAN BUREN 4,162 416 71 86 67 6
WARREN 19,258 2,737 412 1,012 293 490
WASHINGTON 61,956 9,414 1,866 3,022 1,003 3,287
WAYNE 9,479 828 180 346 143 25
WEAKLEY 19,645 679 450 0 268 908
WHITE 15,975 616 330 2 329 31
WILLIAMSON 109,674 13,781 3,007 9,416 1,334 3,311
WILSON 61,853 10,484 1,461 7,617 820 493
