County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 44,508 3,108 920 1,815 810 76
BEDFORD 21,433 1,773 541 444 298 98
BENTON 9,905 1,809 236 1,598 332 9
BLEDSOE 8,426 402 158 0 163 111
BLOUNT 61,487 13,697 1,587 9 533 321
BRADLEY 57,506 3,798 1,269 0 429 65
CAMPBELL 22,255 1,727 355 966 263 22
CANNON 7,604 235 188 13 106 14
CARROLL 18,111 997 295 84 689 365
CARTER 28,143 5,771 615 4,457 464 120
CHEATHAM 22,093 1,511 401 13 342 63
CHESTER 8,681 64 284 43 101 3,222
CLAIBORNE 15,787 2,167 313 343 350 0
CLAY 5,864 163 95 0 113 6
COCKE 20,161 1,438 530 6 297 12
COFFEE 28,997 1,892 590 118 513 88
CROCKETT 9,079 531 199 236 301 25
CUMBERLAND 33,933 3,928 925 0 436 127
DAVIDSON 303,383 42,916 6,720 21,480 4,724 1,121
DECATUR 6,783 873 121 501 145 33
DEKALB 12,092 625 257 0 222 18
DICKSON 26,573 4,449 613 727 449 140
DYER 20,254 1,596 374 384 413 44
FAYETTE 23,855 977 548 359 348 39
FENTRESS 10,648 1,277 190 0 185 59
FRANKLIN 24,069 1,511 570 2 371 46
GIBSON 28,279 1,790 645 533 490 75
GILES 17,432 1,195 339 427 255 59
GRAINGER 12,083 1,114 306 528 171 37
GREENE 36,754 2,581 1,015 758 435 858
GRUNDY 6,267 2,116 136 10 77 55
HAMBLEN 31,843 1,440 754 857 529 1,235
HAMILTON 207,658 8,175 3,882 0 3,051 8,924
HANCOCK 4,676 324 77 0 116 15
HARDEMAN 15,985 18 301 0 277 641
HARDIN 13,980 2,132 308 0 204 77
HAWKINS 33,855 1,178 911 40 548 61
HAYWOOD 11,289 786 150 511 274 0
HENDERSON 16,843 736 443 8 218 17
HENRY 17,402 6,184 395 0 157 94
HICKMAN 13,216 976 303 4 239 233
HOUSTON 4,823 197 74 144 91 1
HUMPHREYS 11,029 678 40 531 576 43
JACKSON 7,845 566 155 104 223 35
JEFFERSON 26,890 1,971 729 3 442 111
JOHNSON 10,315 728 183 7 161 26
KNOX 263,693 16,181 4,484 156 3,947 580
LAKE 3,740 474 72 312 96 24
LAUDERDALE 13,945 625 202 3 252 28
LAWRENCE 21,979 4,156 438 3,516 305 97
LEWIS 7,839 210 138 0 129 155
LINCOLN 18,071 1,171 422 18 222 43
LOUDON 29,196 1,410 708 0 360 95
MACON 11,170 1,841 291 1,832 383 61
MADISON 58,598 3,802 1,105 2,357 1,022 107
MARION 18,016 1,483 417 832 708 2
MARSHALL 16,725 416 369 0 226 892
MAURY 44,929 4,211 1,160 27 580 142
MCMINN 26,585 2,618 608 1,687 471 918
MCNAIRY 13,587 1,447 361 597 244 56
MEIGS 6,938 298 182 3 126 534
MONROE 28,322 1,257 566 23 321 724
MONTGOMER 78,443 11,634 2,325 7,750 886 151
MOORE 4,273 46 68 53 89 82
MORGAN 11,099 191 234 1 213 9
OBION 18,919 1,917 323 71 246 92
OVERTON 12,843 911 277 2 232 49
PERRY 4,963 473 84 87 69 117
PICKETT 3,540 683 77 399 60 26
POLK 10,218 917 86 235 265 155
PUTNAM 39,645 1,849 905 25 549 71
RHEA 17,743 904 225 4 123 1,484
ROANE 29,769 5,319 516 3,741 610 634
ROBERTSON 33,812 4,541 872 2,988 463 187
RUTHERFORD 123,645 18,390 3,074 11,529 1,517 461
SCOTT 13,915 499 234 0 160 16
SEQUATCHIE 8,562 821 219 288 200 10
SEVIER 47,058 4,782 2,059 2,971 1,174 2,328
SHELBY 566,719 29,632 7,361 5,259 10,714 9,445
SMITH 11,924 591 235 130 174 15
STEWART 8,053 405 207 0 103 55
SULLIVAN 83,634 5,788 1,749 72 1,106 186
SUMNER 88,180 11,145 2,200 3,306 1,046 468
TIPTON 35,230 2,954 811 26 473 395
TROUSDALE 4,699 374 88 366 93 251
UNICOI 10,309 792 198 9 170 28
UNION 11,658 79 243 81 255 15
VAN BUREN 4,047 346 96 101 106 22
WARREN 19,046 2,870 393 11 242 136
WASHINGTON 61,382 10,695 1,644 6,503 863 2,622
WAYNE 9,967 13 132 0 158 22
WEAKLEY 19,128 1,739 328 57 315 45
WHITE 15,313 716 522 2 277 35
WILLIAMSON 112,884 7,654 2,796 4,295 1,426 180
WILSON 67,318 2,632 1,597 133 782 74
