County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 44,408 3,424 1,961 0 746 120
BEDFORD 20,447 1,545 972 47 346 82
BENTON 11,354 303 360 0 175 7
BLEDSOE 8,287 1,024 300 446 156 17
BLOUNT 62,702 8,811 3,466 1 817 363
BRADLEY 52,533 5,057 2,653 469 512 154
CAMPBELL 22,229 3,394 801 18 330 46
CANNON 7,672 791 409 2 154 19
CARROLL 18,357 1,080 633 2 389 82
CARTER 30,958 2,690 1,194 0 451 112
CHEATHAM 20,973 1,698 1,223 19 387 78
CHESTER 7,196 3,981 382 0 104 109
CLAIBORNE 17,075 2,167 664 1,513 187 0
CLAY 5,756 637 169 0 91 13
COCKE 20,075 1,231 775 6 344 96
COFFEE 28,307 1,310 1,416 6 509 47
CROCKETT 9,110 470 292 3 206 9
CUMBERLAND 34,447 2,442 1,703 0 467 1,081
DAVIDSON 284,229 62,660 16,797 3,856 7,115 371
DECATUR 7,034 643 303 0 127 21
DEKALB 11,615 1,389 531 27 272 53
DICKSON 26,595 3,254 1,458 719 431 134
DYER 19,634 1,242 847 0 300 36
FAYETTE 22,208 1,021 1,325 30 417 68
FENTRESS 11,050 706 415 2 206 21
FRANKLIN 24,004 1,334 1,018 254 526 37
GIBSON 27,026 1,836 1,296 24 565 100
GILES 17,589 803 769 2 317 19
GRAINGER 11,798 1,765 525 0 192 46
GREENE 35,672 2,225 1,334 48 452 79
GRUNDY 6,689 1,696 301 20 79 41
HAMBLEN 29,996 2,899 1,270 7 482 114
HAMILTON 191,515 19,018 8,372 0 2,238 383
HANCOCK 4,771 375 143 1 69 19
HARDEMAN 14,977 1,311 140 4 513 170
HARDIN 14,239 1,292 617 0 211 29
HAWKINS 33,440 81 1,354 10 700 10
HAYWOOD 11,219 679 361 1 253 0
HENDERSON 16,351 488 654 4 261 11
HENRY 22,474 508 606 3 258 13
HICKMAN 13,117 792 661 0 300 27
HOUSTON 4,852 50 248 2 123 8
HUMPHREYS 11,101 792 495 1 218 31
JACKSON 7,947 703 337 0 204 24
JEFFERSON 26,624 1,328 1,445 10 512 48
JOHNSON 10,311 679 277 0 165 8
KNOX 239,873 23,369 10,721 33 2,302 662
LAKE 3,986 364 132 1 95 26
LAUDERDALE 13,926 202 638 107 264 12
LAWRENCE 24,292 1,591 733 0 358 31
LEWIS 7,598 412 306 0 162 16
LINCOLN 17,103 1,329 802 8 220 50
LOUDON 27,751 2,038 1,560 0 445 84
MACON 12,690 620 532 0 204 24
MADISON 55,566 5,625 2,646 232 1,090 230
MARION 18,052 1,166 880 13 236 43
MARSHALL 16,328 853 814 358 333 21
MAURY 42,495 4,100 2,317 76 676 194
MCMINN 26,045 2,425 1,344 17 349 135
MCNAIRY 12,971 1,746 652 1 181 50
MEIGS 6,470 995 355 0 127 24
MONROE 26,383 2,609 1,166 14 483 103
MONTGOMER 74,454 7,502 5,409 1,128 1,006 210
MOORE 4,183 117 334 0 88 13
MORGAN 10,674 228 438 331 128 93
OBION 19,600 1,378 646 0 334 23
OVERTON 13,053 372 603 1 276 14
PERRY 4,866 585 224 0 76 13
PICKETT 3,858 348 111 0 52 4
POLK 10,542 1,423 529 23 145 32
PUTNAM 37,884 2,481 1,961 4 791 95
RHEA 17,155 2,063 696 12 340 533
ROANE 31,466 3,924 1,367 0 383 77
ROBERTSON 33,389 3,468 2,012 46 594 94
RUTHERFORD 115,510 16,316 8,597 3,729 2,060 616
SCOTT 13,631 703 284 0 154 66
SEQUATCHIE 8,325 662 349 0 150 10
SEVIER 43,351 8,465 2,521 226 799 819
SHELBY 533,112 87,822 18,403 3,814 4,423 2,274
SMITH 11,810 426 424 31 228 17
STEWART 7,625 688 362 11 147 32
SULLIVAN 75,783 9,942 3,698 1,334 919 251
SUMNER 81,307 10,871 4,887 547 1,120 410
TIPTON 32,619 2,985 4,402 159 3,273 79
TROUSDALE 4,834 454 295 0 102 28
UNICOI 10,076 950 367 5 171 52
UNION 11,268 232 504 68 243 33
VAN BUREN 4,055 285 107 0 50 5
WARREN 20,313 784 920 15 217 42
WASHINGTON 61,659 7,961 3,439 28 954 414
WAYNE 9,775 741 248 1 170 7
WEAKLEY 18,361 2,518 812 70 351 163
WHITE 15,071 724 715 0 287 45
WILLIAMSON 106,582 7,811 6,585 811 1,841 267
WILSON 62,593 3,288 3,589 513 1,152 88
