County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 44,901 2,996 1,032 0 675 74
BEDFORD 21,934 1,664 721 9 288 41
BENTON 10,320 1,680 414 13 81 47
BLEDSOE 8,353 506 708 136 647 30
BLOUNT 62,747 13,251 1,595 0 537 244
BRADLEY 55,044 7,101 1,576 3,381 696 39
CAMPBELL 22,407 1,671 416 11 251 69
CANNON 7,823 67 331 65 129 151
CARROLL 17,517 2,060 2,012 1,089 1,529 14
CARTER 28,970 5,302 903 1 433 112
CHEATHAM 22,427 1,497 607 25 266 21
CHESTER 8,955 57 487 1 214 6
CLAIBORNE 16,162 2,167 627 304 252 0
CLAY 5,204 1,011 281 856 69 24
COCKE 20,775 1,333 820 13 276 35
COFFEE 29,036 1,996 759 295 491 125
CROCKETT 8,482 1,189 275 704 171 43
CUMBERLAND 34,645 3,711 1,170 0 555 120
DAVIDSON 306,663 42,769 6,143 2,320 2,380 630
DECATUR 6,965 815 298 0 151 23
DEKALB 12,282 594 404 0 232 13
DICKSON 26,561 3,137 697 404 301 1,720
DYER 20,614 1,534 607 4 280 29
FAYETTE 23,805 1,355 710 501 311 71
FENTRESS 10,959 1,214 465 0 190 27
FRANKLIN 24,289 1,459 574 0 381 25
GIBSON 28,501 1,804 751 116 459 56
GILES 17,563 1,166 369 3 241 26
GRAINGER 12,739 968 721 0 175 36
GREENE 37,223 2,564 954 119 443 59
GRUNDY 6,913 1,741 424 1 100 53
HAMBLEN 32,685 1,381 1,221 6 406 32
HAMILTON 207,962 9,181 4,714 0 2,740 664
HANCOCK 4,924 274 268 0 62 8
HARDEMAN 16,110 132 468 1 227 2
HARDIN 14,246 2,054 409 0 193 28
HAWKINS 34,035 645 1,003 320 496 860
HAYWOOD 11,439 735 325 0 208 18
HENDERSON 17,201 617 691 1 368 84
HENRY 17,603 5,905 553 5 475 156
HICKMAN 13,426 881 438 0 243 80
HOUSTON 5,008 191 274 4 83 12
HUMPHREYS 11,249 755 484 116 169 18
JACKSON 8,057 540 441 22 224 31
JEFFERSON 27,545 1,881 1,100 0 489 46
JOHNSON 10,492 709 301 0 124 19
KNOX 257,118 22,196 4,086 6,576 3,660 986
LAKE 3,835 438 144 0 70 15
LAUDERDALE 14,024 133 311 11 237 487
LAWRENCE 22,460 3,988 630 0 252 65
LEWIS 7,871 398 352 208 126 6
LINCOLN 18,347 1,091 513 1 269 48
LOUDON 30,036 1,287 1,114 0 371 26
MACON 11,498 1,729 573 0 317 40
MADISON 58,552 4,031 1,077 392 797 97
MARION 18,469 1,402 983 0 593 18
MARSHALL 17,117 407 618 0 234 1
MAURY 45,606 3,900 1,149 10 545 238
MCMINN 27,484 2,282 1,033 7 374 96
MCNAIRY 13,781 1,404 369 2 190 28
MEIGS 6,909 741 573 470 115 44
MONROE 28,737 1,184 762 0 389 31
MONTGOMER 78,835 12,556 3,111 1,209 1,687 110
MOORE 4,344 51 184 0 107 1
MORGAN 11,273 179 380 0 216 2
OBION 19,081 1,851 352 4 223 33
OVERTON 13,135 845 521 0 262 33
PERRY 5,069 446 184 0 90 15
PICKETT 3,812 529 205 0 61 26
POLK 10,654 553 1,113 22 500 541
PUTNAM 40,225 1,991 1,261 342 495 44
RHEA 18,050 1,362 1,064 585 237 62
ROANE 30,008 5,183 730 0 525 102
ROBERTSON 34,445 4,321 944 7 428 103
RUTHERFORD 125,969 17,820 3,420 0 1,386 280
SCOTT 14,135 473 357 2 151 12
SEQUATCHIE 8,765 789 306 1 126 9
SEVIER 45,610 6,450 1,417 2,260 898 299
SHELBY 540,332 58,806 7,772 31,182 4,149 836
SMITH 12,195 554 449 3 199 16
STEWART 8,136 389 211 4 127 17
SULLIVAN 84,361 5,647 1,513 11 850 77
SUMNER 89,388 10,394 2,123 30 1,066 600
TIPTON 35,654 2,586 846 57 405 385
TROUSDALE 4,895 348 249 0 64 15
UNICOI 10,604 736 413 3 158 16
UNION 11,809 117 432 51 193 50
VAN BUREN 4,133 344 154 1 63 7
WARREN 19,517 2,643 609 29 244 121
WASHINGTON 62,345 10,118 1,461 26 810 265
WAYNE 9,559 551 346 589 187 29
WEAKLEY 19,315 1,679 442 3 279 36
WHITE 15,859 674 746 0 224 18
WILLIAMSON 114,637 7,520 2,837 30 1,121 97
WILSON 66,991 3,626 1,631 1,234 883 81
