County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 43,107 3,630 1,345 1,631 654 61
BEDFORD 19,759 1,689 809 116 306 124
BENTON 11,148 331 329 157 340 75
BLEDSOE 8,605 579 191 0 164 27
BLOUNT 59,473 9,754 2,401 20,515 632 580
BRADLEY 50,527 5,076 1,583 2,318 957 223
CAMPBELL 21,653 3,545 438 947 251 41
CANNON 7,397 830 229 0 143 31
CARROLL 18,136 1,139 296 1 214 58
CARTER 30,114 2,903 846 9 444 98
CHEATHAM 20,065 1,848 685 53 395 111
CHESTER 6,744 4,264 50 4,060 615 41
CLAIBORNE 16,598 2,167 438 1,667 316 2
CLAY 5,660 668 126 0 83 16
COCKE 19,644 1,327 625 10 378 146
COFFEE 27,341 1,416 927 226 462 65
CROCKETT 9,021 482 183 394 219 103
CUMBERLAND 33,124 3,610 1,155 2 324 76
DAVIDSON 270,510 67,068 11,661 2,617 5,425 549
DECATUR 6,833 689 168 0 150 38
DEKALB 11,338 1,460 299 9 223 82
DICKSON 26,255 2,701 963 7 418 102
DYER 19,028 1,337 500 939 381 25
FAYETTE 21,293 1,096 941 33 358 153
FENTRESS 10,816 752 305 0 150 12
FRANKLIN 23,717 1,166 746 47 389 35
GIBSON 26,211 2,020 998 23 449 97
GILES 17,115 844 517 4 265 106
GRAINGER 11,371 1,905 357 847 189 48
GREENE 34,672 2,422 1,068 1,360 483 99
GRUNDY 6,214 1,990 156 122 78 83
HAMBLEN 29,062 3,159 850 1,897 481 87
HAMILTON 185,599 19,183 5,155 0 2,283 464
HANCOCK 4,678 413 87 129 91 35
HARDEMAN 15,122 1,709 293 1,117 274 63
HARDIN 13,783 1,371 398 0 208 31
HAWKINS 32,793 84 924 51 455 9
HAYWOOD 11,069 721 253 1 51 1
HENDERSON 15,945 512 541 7 317 25
HENRY 22,114 533 479 13 387 26
HICKMAN 12,739 836 376 38 267 43
HOUSTON 4,708 77 134 17 90 28
HUMPHREYS 10,775 872 386 506 239 69
JACKSON 7,800 741 213 254 175 45
JEFFERSON 25,667 1,400 1,007 819 521 58
JOHNSON 10,171 715 234 0 165 3
KNOX 227,943 27,542 7,242 82 2,325 1,221
LAKE 3,941 398 87 97 94 25
LAUDERDALE 13,654 112 306 23 294 5
LAWRENCE 23,862 1,677 602 1,238 394 1,011
LEWIS 7,445 437 157 282 166 126
LINCOLN 16,372 1,528 542 75 191 57
LOUDON 26,540 2,218 944 7 317 90
MACON 12,323 683 528 0 213 31
MADISON 53,957 5,908 1,461 2,268 978 185
MARION 17,198 1,419 501 2 297 930
MARSHALL 16,109 612 532 210 339 377
MAURY 40,682 4,466 1,763 28 553 160
MCMINN 24,772 2,838 798 1,656 164 419
MCNAIRY 12,313 1,983 827 1,175 564 69
MEIGS 6,204 1,057 228 0 112 39
MONROE 25,203 3,209 749 7 382 107
MONTGOMER 70,995 6,768 2,944 1,362 837 100
MOORE 3,934 133 100 0 47 3
MORGAN 10,671 14 292 0 196 0
OBION 19,239 1,450 438 0 366 72
OVERTON 12,707 405 756 413 278 25
PERRY 4,707 609 86 0 70 17
PICKETT 3,792 359 83 0 42 10
POLK 10,094 1,519 293 54 156 73
PUTNAM 36,593 2,697 1,174 62 676 113
RHEA 16,363 3,032 367 1,710 162 44
ROANE 30,268 4,215 940 0 473 146
ROBERTSON 31,859 3,674 1,270 32 492 120
RUTHERFORD 112,295 13,610 5,074 7,157 1,523 307
SCOTT 13,474 796 197 24 194 30
SEQUATCHIE 8,087 711 241 109 160 27
SEVIER 41,681 9,232 1,986 4,752 993 194
SHELBY 521,674 87,554 12,073 30,507 5,547 1,483
SMITH 11,646 411 319 41 189 15
STEWART 7,394 736 258 5 124 27
SULLIVAN 73,659 9,538 2,077 6,685 1,065 369
SUMNER 77,359 11,462 3,199 1,465 1,673 432
TIPTON 31,480 3,074 3,793 580 3,355 80
TROUSDALE 4,615 508 137 426 117 21
UNICOI 9,840 1,042 319 5 159 52
UNION 11,116 156 443 0 514 735
VAN BUREN 3,997 291 95 0 72 13
WARREN 19,569 867 501 26 227 32
WASHINGTON 58,871 8,678 2,707 5,519 819 235
WAYNE 9,687 758 214 33 131 17
WEAKLEY 17,852 2,729 511 116 278 121
WHITE 14,569 843 464 0 264 125
WILLIAMSON 102,419 7,497 9,509 1,214 1,512 282
WILSON 60,565 2,967 2,214 462 998 106
