County Ending_Active Ending_Inactive New_Registration New_Inactive Purge_Active Purge_Inactive
ANDERSON 45,688 2,887 1,297 0 578 41
BEDFORD 22,303 1,580 621 0 303 33
BENTON 10,404 1,605 312 12 263 40
BLEDSOE 8,557 345 334 0 274 17
BLOUNT 64,128 12,777 1,874 120 761 206
BRADLEY 56,093 6,904 1,266 0 372 42
CAMPBELL 23,085 1,562 827 22 227 31
CANNON 8,057 45 384 1 152 20
CARROLL 18,471 1,324 492 13 252 22
CARTER 29,820 4,964 855 3 276 67
CHEATHAM 22,875 1,446 861 14 426 38
CHESTER 9,257 3,119 3,554 1 174 16
CLAIBORNE 16,833 2,167 929 196 258 0
CLAY 5,453 889 208 0 69 12
COCKE 21,322 1,262 737 31 241 20
COFFEE 29,524 1,936 883 45 424 31
CROCKETT 8,481 335 211 73 159 907
CUMBERLAND 35,520 3,528 1,138 0 388 58
DAVIDSON 314,338 39,316 9,834 1,553 3,298 2,314
DECATUR 7,178 738 259 0 105 18
DEKALB 12,409 575 353 0 233 12
DICKSON 26,991 3,227 1,028 401 408 100
DYER 21,175 1,440 777 0 291 19
FAYETTE 24,446 1,289 1,036 4 429 32
FENTRESS 11,238 1,110 328 0 137 16
FRANKLIN 24,628 1,385 727 4 421 41
GIBSON 29,080 1,725 913 28 372 41
GILES 17,990 1,127 688 32 277 23
GRAINGER 12,936 918 344 0 172 25
GREENE 38,004 2,435 1,181 29 483 46
GRUNDY 6,992 1,653 153 0 124 38
HAMBLEN 32,960 1,317 854 6 503 140
HAMILTON 211,137 9,620 5,793 0 2,008 171
HANCOCK 5,074 240 198 0 77 5
HARDEMAN 16,240 118 379 0 255 8
HARDIN 14,677 1,915 525 0 186 47
HAWKINS 34,348 620 863 10 556 19
HAYWOOD 11,566 685 326 0 237 12
HENDERSON 17,336 590 404 0 279 17
HENRY 18,070 5,709 529 0 189 69
HICKMAN 13,718 831 488 0 222 24
HOUSTON 5,103 187 173 3 81 1
HUMPHREYS 11,569 686 469 27 186 32
JACKSON 8,197 509 258 1 142 7
JEFFERSON 28,225 1,804 1,023 0 375 45
JOHNSON 10,738 676 325 0 79 33
KNOX 257,076 26,669 6,643 5,944 1,730 482
LAKE 3,982 243 174 2 73 149
LAUDERDALE 14,284 138 500 21 227 8
LAWRENCE 23,065 3,734 737 1 320 66
LEWIS 8,004 373 239 0 122 9
LINCOLN 18,823 1,065 675 52 207 18
LOUDON 30,717 1,234 1,016 0 359 29
MACON 11,800 1,628 457 7 224 32
MADISON 59,613 3,861 1,855 91 883 81
MARION 18,957 1,191 489 1 212 0
MARSHALL 17,526 396 666 0 265 3
MAURY 46,896 3,666 1,782 19 635 91
MCMINN 28,209 2,051 1,009 25 440 75
MCNAIRY 14,247 534 554 0 203 755
MEIGS 7,089 685 244 5 89 31
MONROE 29,317 1,074 867 0 982 15
MONTGOMER 80,810 12,500 2,930 596 826 185
MOORE 4,454 49 164 0 56 0
MORGAN 11,557 166 404 0 133 0
OBION 19,335 7 492 0 282 1,800
OVERTON 13,335 811 400 0 217 17
PERRY 5,166 433 154 0 65 5
PICKETT 3,864 493 84 0 65 3
POLK 10,724 580 328 63 223 8
PUTNAM 40,728 1,825 1,227 12 766 124
RHEA 18,558 1,211 620 30 241 22
ROANE 30,540 4,964 877 0 485 79
ROBERTSON 35,511 4,045 1,257 2 410 57
RUTHERFORD 130,462 16,755 5,557 0 1,787 342
SCOTT 14,425 439 426 0 160 10
SEQUATCHIE 8,990 744 338 0 141 17
SEVIER 45,097 8,068 1,973 0 661 207
SHELBY 539,948 63,900 9,422 10,159 3,771 905
SMITH 12,417 532 359 1 148 11
STEWART 8,310 154 301 0 137 225
SULLIVAN 85,075 5,456 1,487 37 891 73
SUMNER 91,568 10,083 3,157 208 1,058 230
TIPTON 36,464 2,479 1,204 24 462 39
TROUSDALE 4,989 327 161 0 86 2
UNICOI 10,684 717 236 11 159 16
UNION 12,044 99 405 17 166 22
VAN BUREN 4,245 335 175 0 68 4
WARREN 19,914 2,452 549 1 276 67
WASHINGTON 64,006 9,788 2,156 35 693 132
WAYNE 9,773 522 311 1 118 8
WEAKLEY 19,438 1,612 411 0 318 37
WHITE 15,981 640 591 0 485 18
WILLIAMSON 117,501 7,592 4,430 329 1,343 151
WILSON 68,863 3,326 2,554 79 845 137
